lat,lon,tx_verano_clim,tx_verano_tend,tx_p99_clim,tx_p99_tend
42.68,-8.175,23.97,0.249,31.64,0.405
42.681,-8.107,23.8,0.249,31.48,0.391
42.683,-8.039,23.36,0.236,31.03,0.353
42.684,-7.971,22.96,0.224,30.52,0.342
42.685,-7.903,22.91,0.221,30.41,0.335
42.686,-7.835,23.77,0.23,31.29,0.34
42.687,-7.767,24.75,0.244,32.18,0.361
42.688,-7.699,25.03,0.25,32.47,0.344
42.689,-7.631,24.53,0.228,31.99,0.309
42.69,-7.563,24.22,0.223,31.63,0.292
42.691,-7.496,24.79,0.222,32.19,0.283
42.691,-7.428,24.86,0.225,32.22,0.294
42.692,-7.36,24.16,0.212,31.41,0.283
42.693,-7.292,23.14,0.203,30.11,0.315
42.694,-7.224,22.2,0.174,28.98,0.335
42.694,-7.156,21.96,0.153,28.65,0.328
42.695,-7.088,22.31,0.165,28.96,0.329
42.696,-7.02,23.0,0.183,29.63,0.326
42.696,-6.952,23.63,0.194,30.25,0.335
42.697,-6.884,24.03,0.207,30.64,0.339
42.697,-6.816,25.04,0.219,31.67,0.324
42.698,-6.748,26.18,0.212,32.93,0.294
42.698,-6.68,26.27,0.215,33.06,0.288
42.698,-6.612,26.15,0.213,32.85,0.294
42.699,-6.544,25.69,0.221,32.27,0.319
42.713,-8.992,23.05,0.194,30.13,0.383
42.714,-8.925,23.25,0.2,30.62,0.401
42.716,-8.857,23.7,0.197,30.97,0.406
42.718,-8.789,24.17,0.204,31.17,0.4
42.719,-8.721,24.71,0.206,31.51,0.381
42.721,-8.653,24.95,0.211,31.76,0.397
42.722,-8.585,24.89,0.219,31.78,0.418
42.724,-8.517,25.2,0.223,32.19,0.429
42.725,-8.449,25.03,0.23,32.11,0.43
42.726,-8.381,24.57,0.242,31.87,0.442
42.728,-8.313,24.28,0.244,31.79,0.418
