idema,anio,n,tx_p99,tx_max,d_tx30,d_tx32,n_verano,tx_verano,tmed,nombre
1455I,2020,362,31.6,34.6,10.0,3.0,90,23.343333333333334,11.876243093922652,Rodeiro-Vilamaior
1455I,2021,358,30.9,33.1,6.0,1.0,92,23.191304347826087,11.46340782122905,Rodeiro-Vilamaior
1455I,2022,360,35.44600000000001,38.1,23.0,14.0,91,25.445054945054945,12.400277777777776,Rodeiro-Vilamaior
1455I,2023,330,31.083999999999993,36.9,12.0,3.0,90,24.323333333333327,12.260182370820669,Rodeiro-Vilamaior
1455I,2024,364,33.51800000000001,35.8,12.0,6.0,91,25.113186813186815,12.539944903581267,Rodeiro-Vilamaior
1455I,2025,365,35.1,37.7,31.0,17.0,92,26.68152173913044,12.770833333333334,Rodeiro-Vilamaior
1465U,2015,364,32.048,34.8,11.0,4.0,91,25.285714285714292,13.037362637362639,Lalin-Cristimil
1465U,2016,362,34.333999999999996,37.4,22.0,9.0,91,25.703296703296697,12.804143646408841,Lalin-Cristimil
1465U,2017,364,33.274,36.5,14.0,10.0,92,25.101086956521737,13.20054945054945,Lalin-Cristimil
1465U,2018,362,34.19499999999999,38.0,18.0,10.0,92,24.548913043478265,12.852209944751381,Lalin-Cristimil
1465U,2019,361,32.019999999999996,33.3,11.0,4.0,91,23.56373626373626,12.607202216066485,Lalin-Cristimil
1465U,2020,364,33.574000000000005,34.5,22.0,9.0,91,24.792307692307695,13.406593406593407,Lalin-Cristimil
1465U,2021,357,31.276,33.3,8.0,2.0,92,23.4304347826087,12.55126050420168,Lalin-Cristimil
1465U,2022,347,35.924000000000014,40.1,34.0,17.0,91,26.598901098901095,13.772910662824208,Lalin-Cristimil
1465U,2023,358,32.243,37.8,13.0,6.0,92,25.098913043478266,13.651955307262568,Lalin-Cristimil
1466A,2015,349,35.15599999999999,36.8,27.0,14.0,92,27.210869565217397,14.520916905444126,Silleda
1466A,2017,346,35.410000000000004,37.9,35.0,16.0,92,26.914130434782606,15.099421965317921,Silleda
1466A,2018,348,36.306,38.1,36.0,20.0,92,25.873913043478257,14.153448275862068,Silleda
1466A,2019,364,33.774,35.5,27.0,14.0,92,25.358695652173914,13.883241758241759,Silleda
1466A,2020,365,34.936,36.4,36.0,21.0,91,26.40989010989011,14.583561643835617,Silleda
1466A,2021,364,33.474000000000004,36.6,16.0,10.0,92,25.097826086956527,13.906593406593407,Silleda
1466A,2022,364,37.611,40.4,41.0,29.0,91,28.3,15.08076923076923,Silleda
1466A,2023,363,33.676,37.9,16.0,8.0,92,26.18152173913043,14.817955801104974,Silleda
1466A,2024,366,34.77,36.7,26.0,11.0,92,26.70326086956522,14.634699453551915,Silleda
1466A,2025,365,35.672000000000004,37.9,45.0,28.0,92,28.320652173913043,14.766849315068493,Silleda
1468X,2015,353,33.29600000000001,35.9,13.0,8.0,92,25.278260869565212,14.142776203966005,A Estrada
1468X,2017,365,34.772000000000006,36.1,21.0,12.0,92,25.905434782608697,14.45068493150685,A Estrada
1468X,2018,365,35.35200000000001,37.9,32.0,15.0,92,25.469565217391306,14.036712328767122,A Estrada
1468X,2019,363,33.3,33.7,18.0,9.0,91,24.33956043956044,13.871625344352616,A Estrada
1468X,2020,366,34.27,36.3,34.0,20.0,92,25.922826086956523,14.696994535519126,A Estrada
1468X,2021,364,32.511,36.4,12.0,6.0,92,24.634782608695648,13.871153846153847,A Estrada
1468X,2022,364,36.822,39.5,33.0,17.0,91,26.912087912087912,14.871978021978023,A Estrada
1468X,2023,360,32.941,37.2,17.0,9.0,92,26.573913043478257,14.968055555555555,A Estrada
1468X,2024,366,33.785000000000025,37.7,24.0,13.0,92,26.596739130434788,14.738797814207649,A Estrada
1468X,2025,363,36.337999999999994,38.5,41.0,23.0,91,28.05824175824176,14.777410468319559,A Estrada
1473A,2004,336,33.77999999999997,35.4,21.0,9.0,90,26.00111111111111,13.934821428571427,Padrón
1473A,2007,347,31.162000000000006,33.5,10.0,3.0,92,23.070652173913043,13.667723342939484,Padrón
1473A,2008,344,29.627999999999997,33.6,3.0,2.0,88,23.564772727272725,13.268604651162793,Padrón
1473A,2009,340,32.783,34.0,15.0,8.0,91,24.203296703296708,14.18264705882353,Padrón
1473A,2011,339,33.61,37.3,23.0,7.0,89,24.64719101123596,14.74159292035398,Padrón
1473A,2012,345,32.092,35.0,13.0,4.0,89,23.183146067415734,13.256521739130434,Padrón
1473A,2015,346,35.440000000000005,37.5,25.0,15.0,91,27.204395604395604,15.440462427745667,Padrón
1473A,2016,356,35.989999999999995,39.5,40.0,23.0,91,28.12747252747252,14.900280898876405,Padrón
